"","REF_AREA","Reference.area","ACTIVITY","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency","percent_change"
"1","ALB","Albania","_T",1996,312817.275,"A","Normal value","ALL","Lek",NA
"2","ALB","Albania","_T",1997,304714.179,"A","Normal value","ALL","Lek",-2.5903607785088
"3","ALB","Albania","_T",1998,339154.282,"A","Normal value","ALL","Lek",11.3024287589847
"4","ALB","Albania","_T",1999,396081.873,"A","Normal value","ALL","Lek",16.7851606249217
"5","ALB","Albania","_T",2000,442126.723,"A","Normal value","ALL","Lek",11.6250838876436
"6","ALB","Albania","_T",2001,503693.04,"A","Normal value","ALL","Lek",13.9250386364906
"7","ALB","Albania","_T",2002,542777.55,"A","Normal value","ALL","Lek",7.75958905447653
"8","ALB","Albania","_T",2003,596038.225,"A","Normal value","ALL","Lek",9.81261568390217
"9","ALB","Albania","_T",2004,647538.548,"A","Normal value","ALL","Lek",8.64043962952208
"10","ALB","Albania","_T",2005,703494.244,"A","Normal value","ALL","Lek",8.64129188491185
"11","ALB","Albania","_T",2006,755264.834,"A","Normal value","ALL","Lek",7.35906376513296
"12","ALB","Albania","_T",2007,841299.32,"A","Normal value","ALL","Lek",11.391300392519
"13","ALB","Albania","_T",2008,936917.346,"A","Normal value","ALL","Lek",11.3655180417833
"14","ALB","Albania","_T",2009,989796.273,"A","Normal value","ALL","Lek",5.64392656681586
"15","ALB","Albania","_T",2010,1077484.546,"A","Normal value","ALL","Lek",8.85922440728366
"16","ALB","Albania","_T",2011,1131120.799,"A","Normal value","ALL","Lek",4.97791390132848
"17","ALB","Albania","_T",2012,1154746.558,"A","Normal value","ALL","Lek",2.08870343652834
"18","ALB","Albania","_T",2013,1177698.413,"A","Normal value","ALL","Lek",1.98760973488002
"19","ALB","Albania","_T",2014,1217843.175,"A","Normal value","ALL","Lek",3.40874722737697
"20","ALB","Albania","_T",2015,1259726.07,"A","Normal value","ALL","Lek",3.43910413588351
"21","ALB","Albania","_T",2016,1291203.203,"A","Normal value","ALL","Lek",2.49872839418175
"22","ALB","Albania","_T",2017,1355126.08,"P","Provisional value","ALL","Lek",4.95064424030863
"23","AUS","Australia","_T",1989,374400,"A","Normal value","AUD","Australian dollar",NA
"24","AUS","Australia","_T",1990,382599,"A","Normal value","AUD","Australian dollar",2.18990384615385
"25","AUS","Australia","_T",1991,388821,"A","Normal value","AUD","Australian dollar",1.62624575600041
"26","AUS","Australia","_T",1992,411769,"A","Normal value","AUD","Australian dollar",5.90194459661387
"27","AUS","Australia","_T",1993,432543,"A","Normal value","AUD","Australian dollar",5.04506167292827
"28","AUS","Australia","_T",1994,455585,"A","Normal value","AUD","Australian dollar",5.32710042700957
"29","AUS","Australia","_T",1995,485832,"A","Normal value","AUD","Australian dollar",6.63915624965703
"30","AUS","Australia","_T",1996,511524,"A","Normal value","AUD","Australian dollar",5.28824778935928
"31","AUS","Australia","_T",1997,542229,"A","Normal value","AUD","Australian dollar",6.00265090201046
"32","AUS","Australia","_T",1998,572052,"A","Normal value","AUD","Australian dollar",5.5000746916893
"33","AUS","Australia","_T",1999,609853,"A","Normal value","AUD","Australian dollar",6.60796570941103
"34","AUS","Australia","_T",2000,645828,"A","Normal value","AUD","Australian dollar",5.89896253687364
"35","AUS","Australia","_T",2001,692223,"A","Normal value","AUD","Australian dollar",7.18380125977815
"36","AUS","Australia","_T",2002,732435,"A","Normal value","AUD","Australian dollar",5.80911064786926
"37","AUS","Australia","_T",2003,788421,"A","Normal value","AUD","Australian dollar",7.64381822277745
"38","AUS","Australia","_T",2004,849891,"A","Normal value","AUD","Australian dollar",7.79659598108117
"39","AUS","Australia","_T",2005,919824,"A","Normal value","AUD","Australian dollar",8.22846694458466
"40","AUS","Australia","_T",2006,1003629,"A","Normal value","AUD","Australian dollar",9.11098210092366
"41","AUS","Australia","_T",2007,1089586,"A","Normal value","AUD","Australian dollar",8.5646189976575
"42","AUS","Australia","_T",2008,1177789,"A","Normal value","AUD","Australian dollar",8.09509299862517
"43","AUS","Australia","_T",2009,1213418,"A","Normal value","AUD","Australian dollar",3.02507494975755
"44","AUS","Australia","_T",2010,1324652,"A","Normal value","AUD","Australian dollar",9.166997687524
"45","AUS","Australia","_T",2011,1406934,"A","Normal value","AUD","Australian dollar",6.21159368649275
"46","AUS","Australia","_T",2012,1439811,"A","Normal value","AUD","Australian dollar",2.3367833885598
"47","AUS","Australia","_T",2013,1494119,"A","Normal value","AUD","Australian dollar",3.77188394865715
"48","AUS","Australia","_T",2014,1514482,"A","Normal value","AUD","Australian dollar",1.36287671865494
"49","AUS","Australia","_T",2015,1540448,"A","Normal value","AUD","Australian dollar",1.71451360927367
"50","AUS","Australia","_T",2016,1637630,"A","Normal value","AUD","Australian dollar",6.30868422692619
"51","AUS","Australia","_T",2017,1718288,"A","Normal value","AUD","Australian dollar",4.92528837405275
