"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2000","2000","MXN","Mexican Peso","0","Units",,,5.850064,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2001","2001","MXN","Mexican Peso","0","Units",,,5.960332,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2002","2002","MXN","Mexican Peso","0","Units",,,6.204076,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2003","2003","MXN","Mexican Peso","0","Units",,,6.305554,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2004","2004","MXN","Mexican Peso","0","Units",,,6.645705,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2005","2005","MXN","Mexican Peso","0","Units",,,6.844839,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2006","2006","MXN","Mexican Peso","0","Units",,,6.694816,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2007","2007","MXN","Mexican Peso","0","Units",,,6.976694,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","MXN","Mexican Peso","0","Units",,,7.086266,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","MXN","Mexican Peso","0","Units",,,7.336416,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","MXN","Mexican Peso","0","Units",,,7.692569,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","MXN","Mexican Peso","0","Units",,,7.692286,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","MXN","Mexican Peso","0","Units",,,7.872281,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","MXN","Mexican Peso","0","Units",,,7.962215,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","MXN","Mexican Peso","0","Units",,,8.18118,,
