"Country","Industry","Industry_simple","Code_num","Code_type","Code_length","Aggregate_level","GVA_abbrev","Units","GVA_total","Currency_ISO","Metric","Metric_type","Year","Base_year","GDP_annual","GDP_perc_norm","Source1","Source1_info","Confidence1","Notes","Source2"
"Australia","Agriculture, forestry and fishing","Fishing","A","ANZSIC",1,1,43862,1e+06,4.3862e+10,"AUD","GVA","Constant",2020,"2022","2.33322e+12",1.87989130900644,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347242V","Medium","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.KN&country=AUS#"
"Australia","Agriculture, forestry and fishing","Fishing","A","ANZSIC",1,1,53945,1e+06,5.3945e+10,"AUD","GVA","Constant",2021,"2022","2.33322e+12",2.31204087055657,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347242V","Medium","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.KN&country=AUS#"
"Australia","Agriculture, forestry and fishing","Fishing","A","ANZSIC",1,1,62426,1e+06,6.2426e+10,"AUD","GVA","Constant",2022,"2022","2.33322e+12",2.67552995431207,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347242V","Medium","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.KN&country=AUS#"
"Australia","Agriculture, forestry and fishing","Fishing","A","ANZSIC",1,1,64451,1e+06,6.4451e+10,"AUD","GVA","Constant",2023,"2022","2.33322e+12",2.76231988410866,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347242V","Medium","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.KN&country=AUS#"
"Australia","Forestry and fishing","Fishing","A","ANZSIC",2,2,8014,1e+06,8.014e+09,"AUD","GVA","Constant",2020,"2022","2.33322e+12",0.343473825871542,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347244X","Medium","Only forestry and fishing
unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.KN&country=AUS#"
"Australia","Forestry and fishing","Fishing","A","ANZSIC",2,2,7763,1e+06,7.763e+09,"AUD","GVA","Constant",2021,"2022","2.33322e+12",0.332716160499224,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347244X","Medium","Only forestry and fishing
unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.KN&country=AUS#"
"Australia","Forestry and fishing","Fishing","A","ANZSIC",2,2,8643,1e+06,8.643e+09,"AUD","GVA","Constant",2022,"2022","2.33322e+12",0.370432278139224,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347244X","Medium","Only forestry and fishing
unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.KN&country=AUS#"
"Australia","Forestry and fishing","Fishing","A","ANZSIC",2,2,8331,1e+06,8.331e+09,"AUD","GVA","Constant",2023,"2022","2.33322e+12",0.35706020006686,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347244X","Medium","Only forestry and fishing
unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.KN&country=AUS#"
"Australia","Agriculture, forestry and fishing","Fishing","A","ANZSIC",1,1,39876,1e+06,3.9876e+10,"AUD","GVA","Current",2020,"Current","1.9846e+12",2.0092713897007,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347998V","Medium","unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.CN&country=AUS#"
"Australia","Agriculture, forestry and fishing","Fishing","A","ANZSIC",1,1,48050,1e+06,4.805e+10,"AUD","GVA","Current",2021,"Current","2.0889e+12",2.30025372205467,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347998V","Medium","unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.CN&country=AUS#"
"Australia","Agriculture, forestry and fishing","Fishing","A","ANZSIC",1,1,62426,1e+06,6.2426e+10,"AUD","GVA","Current",2022,"Current","2.3332e+12",2.6755528887365,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347998V","Medium","unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.CN&country=AUS#"
"Australia","Agriculture, forestry and fishing","Fishing","A","ANZSIC",1,1,61044,1e+06,6.1044e+10,"AUD","GVA","Current",2023,"Current","na",NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347998V","Medium","unsure how much SIC == ANZSIC","https://databank.worldbank.org/reports.aspx?source=2&series=NY.GDP.MKTP.CN&country=AUS#"
"Belgium","Agriculture, forestry and fishing","Fishing","A","NACE",1,1,3207.2,1e+06,3207200000,"EUR","GVA","Current",2019,"2019","NULL",NA,"https://stat.nbb.be/?lang=en","National accounts > annual aggregates","High",NA,NA
"Belgium","Agriculture, forestry and fishing","Fishing","A","NACE",1,1,3129.2,1e+06,3129200000,"EUR","GVA","Current",2020,"2020","NULL",NA,"https://stat.nbb.be/?lang=en","National accounts > annual aggregates","High",NA,NA
"Belgium","Agriculture, forestry and fishing","Fishing","A","NACE",1,1,3258.9,1e+06,3258900000,"EUR","GVA","Current",2021,"2021","NULL",NA,"https://stat.nbb.be/?lang=en","National accounts > annual aggregates","High",NA,NA
"Belgium","Agriculture, forestry and fishing","Fishing","A","NACE",1,1,3549.1,1e+06,3549100000,"EUR","GVA","Current",2022,"2022","NULL",NA,"https://stat.nbb.be/?lang=en","National accounts > annual aggregates","High",NA,NA
"Belgium","Agriculture, forestry and fishing","Fishing","A","NACE",1,1,2568.9,1e+06,2568900000,"EUR","GVA","Constant",2015,"2015","NULL",NA,"https://stat.nbb.be/?lang=en","National accounts > annual aggregates","High",NA,NA
"Belgium","Agriculture, forestry and fishing","Fishing","A","NACE",1,1,2553.1,1e+06,2553100000,"EUR","GVA","Constant",2020,"2015","NULL",NA,"https://stat.nbb.be/?lang=en","National accounts > annual aggregates","High",NA,NA
"Belgium","Agriculture, forestry and fishing","Fishing","A","NACE",1,1,2611.6,1e+06,2611600000,"EUR","GVA","Constant",2021,"2015","NULL",NA,"https://stat.nbb.be/?lang=en","National accounts > annual aggregates","High",NA,NA
"Belgium","Agriculture, forestry and fishing","Fishing","A","NACE",1,1,2241.9,1e+06,2241900000,"EUR","GVA","Constant",2022,"2015","NULL",NA,"https://stat.nbb.be/?lang=en","National accounts > annual aggregates","High",NA,NA
"Belize","Agriculture, forestry and fishing","Fishing","A","ISIC",1,1,385.2,1e+06,385200000,"BZD","GDP","Constant",2019,"2014","4250201767",9.06309914486467,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Agriculture, forestry and fishing","Fishing","A","ISIC",1,1,385.5,1e+06,385500000,"BZD","GDP","Constant",2020,"2014","4250201767",9.07015763329525,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Agriculture, forestry and fishing","Fishing","A","ISIC",1,1,459,1e+06,4.59e+08,"BZD","GDP","Constant",2021,"2014","4250201767",10.7994872987873,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Agriculture, forestry and fishing","Fishing","A","ISIC",1,1,458.5,1e+06,458500000,"BZD","GDP","Constant",2022,"2014","4250201767",10.787723151403,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Fishing and aquaculture","Fishing","3","ISIC",2,3,24.1,1e+06,24100000,"BZD","GDP","Constant",2019,"2014","4250201767",0.567031903923257,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Fishing and aquaculture","Fishing","3","ISIC",2,3,18.3,1e+06,18300000,"BZD","GDP","Constant",2020,"2014","4250201767",0.430567794265378,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Fishing and aquaculture","Fishing","3","ISIC",2,3,24.9,1e+06,24900000,"BZD","GDP","Constant",2021,"2014","4250201767",0.585854539738137,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Fishing and aquaculture","Fishing","3","ISIC",2,3,20.6,1e+06,20600000,"BZD","GDP","Constant",2022,"2014","4250201767",0.484682872233157,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Agriculture, forestry and fishing","Fishing","A","ISIC",1,1,311.9,1e+06,311900000,"BZD","GDP","Current",2019,"Current","4773584952",6.53387345435892,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Agriculture, forestry and fishing","Fishing","A","ISIC",1,1,341.9,1e+06,341900000,"BZD","GDP","Current",2020,"Current","4095455620",8.34827749885372,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Agriculture, forestry and fishing","Fishing","A","ISIC",1,1,383.2,1e+06,383200000,"BZD","GDP","Current",2021,"Current","4849150359",7.90241530227626,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Agriculture, forestry and fishing","Fishing","A","ISIC",1,1,440.5,1e+06,440500000,"BZD","GDP","Current",2022,"Current","5661015151",7.78128989678092,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Fishing and aquaculture","Fishing","3","ISIC",2,3,24.5,1e+06,24500000,"BZD","GDP","Current",2019,"Current","4773584952",0.513241101737074,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Fishing and aquaculture","Fishing","3","ISIC",2,3,18.7,1e+06,18700000,"BZD","GDP","Current",2020,"Current","4095455620",0.456603653783459,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Fishing and aquaculture","Fishing","3","ISIC",2,3,27,1e+06,2.7e+07,"BZD","GDP","Current",2021,"Current","4849150359",0.556798572968317,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
"Belize","Fishing and aquaculture","Fishing","3","ISIC",2,3,27.1,1e+06,27100000,"BZD","GDP","Current",2022,"Current","5661015151",0.478712726907521,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)
1990-2022 annual data
Could get the parent category AFF data",NA
