"Country","Industry","Industry_simple","Code_num","Code_type","Code_length","Aggregate_level","GVA_abbrev","Units","GVA_total","Currency_ISO","Metric","Metric_type","Year","Base_year","GDP_annual","GDP_perc_norm","Source1","Source1_info","Confidence1","Notes","Source2"
"Australia","Mining and quarrying","Mining","B","ANZSIC","1","1","333814","1000000","3.33814e+11","AUD","GVA","Constant","2020","2022",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347281K","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC","1","1","323912","1000000","3.23912e+11","AUD","GVA","Constant","2021","2022",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347281K","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC","1","1","316846","1000000","3.16846e+11","AUD","GVA","Constant","2022","2022",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347281K","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC","1","1","320727","1000000","3.20727e+11","AUD","GVA","Constant","2023","2022",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347281K","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Other mining","Mining","B","ANZSIC","1","5","28298","1000000","2.8298e+10","AUD","GVA","Constant","2020","2022",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A82187590W","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Other mining","Mining","B","ANZSIC","1","5","27023","1000000","2.7023e+10","AUD","GVA","Constant","2021","2022",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A82187590W","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Other mining","Mining","B","ANZSIC","1","5","24865","1000000","2.4865e+10","AUD","GVA","Constant","2022","2022",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A82187590W","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Other mining","Mining","B","ANZSIC","1","5","25110","1000000","2.511e+10","AUD","GVA","Constant","2023","2022",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A82187590W","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC","1","1","203552","1000000","2.03552e+11","AUD","GVA","Current","2020","Current",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3348041T","High","unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC","1","1","224142","1000000","2.24142e+11","AUD","GVA","Current","2021","Current",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3348041T","High","unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC","1","1","316846","1000000","3.16846e+11","AUD","GVA","Current","2022","Current",NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3348041T","High","unsure how much SIC == ANZSIC",NA
