"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"1","KOR","Korea","A","Agriculture, forestry and fishing",1971,933000,"A","Normal value","KRW","Won"
"2","KOR","Korea","A","Agriculture, forestry and fishing",1973,1360100,"A","Normal value","KRW","Won"
"3","KOR","Korea","A","Agriculture, forestry and fishing",1975,2581700,"A","Normal value","KRW","Won"
"4","KOR","Korea","A","Agriculture, forestry and fishing",1977,4054700,"A","Normal value","KRW","Won"
"5","KOR","Korea","A","Agriculture, forestry and fishing",1979,6006200,"A","Normal value","KRW","Won"
"6","KOR","Korea","A","Agriculture, forestry and fishing",1981,7463100,"A","Normal value","KRW","Won"
"7","KOR","Korea","A","Agriculture, forestry and fishing",1983,8595300,"A","Normal value","KRW","Won"
"8","KOR","Korea","A","Agriculture, forestry and fishing",1985,10358500,"A","Normal value","KRW","Won"
"9","KOR","Korea","A","Agriculture, forestry and fishing",1987,11329100,"A","Normal value","KRW","Won"
"10","KOR","Korea","A","Agriculture, forestry and fishing",1989,14162000,"A","Normal value","KRW","Won"
"11","KOR","Korea","A","Agriculture, forestry and fishing",1991,16548100,"A","Normal value","KRW","Won"
"12","KOR","Korea","A","Agriculture, forestry and fishing",1993,18642600,"A","Normal value","KRW","Won"
"13","KOR","Korea","A","Agriculture, forestry and fishing",1995,23285700,"A","Normal value","KRW","Won"
"14","KOR","Korea","A","Agriculture, forestry and fishing",1997,24255500,"A","Normal value","KRW","Won"
"15","KOR","Korea","A","Agriculture, forestry and fishing",1999,25135300,"A","Normal value","KRW","Won"
"16","KOR","Korea","A","Agriculture, forestry and fishing",2001,25211100,"A","Normal value","KRW","Won"
"17","KOR","Korea","A","Agriculture, forestry and fishing",2003,24824500,"A","Normal value","KRW","Won"
"18","KOR","Korea","A","Agriculture, forestry and fishing",2005,25084900,"A","Normal value","KRW","Won"
"19","KOR","Korea","A","Agriculture, forestry and fishing",2007,24881400,"A","Normal value","KRW","Won"
"20","KOR","Korea","A","Agriculture, forestry and fishing",2009,27006500,"A","Normal value","KRW","Won"
"21","KOR","Korea","A","Agriculture, forestry and fishing",2011,30684400,"A","Normal value","KRW","Won"
"22","KOR","Korea","A","Agriculture, forestry and fishing",2013,31502900,"A","Normal value","KRW","Won"
"23","KOR","Korea","A","Agriculture, forestry and fishing",2015,33225200,"A","Normal value","KRW","Won"
"24","KOR","Korea","A","Agriculture, forestry and fishing",2017,33974300,"A","Normal value","KRW","Won"
"25","KOR","Korea","A","Agriculture, forestry and fishing",2019,32099300,"A","Normal value","KRW","Won"
"26","KOR","Korea","A","Agriculture, forestry and fishing",2021,38601500,"A","Normal value","KRW","Won"
"27","MKD","North Macedonia","A","Agriculture, forestry and fishing",2000,25105,"A","Normal value","MKD","Denar"
"28","MKD","North Macedonia","A","Agriculture, forestry and fishing",2002,26299,"A","Normal value","MKD","Denar"
"29","MKD","North Macedonia","A","Agriculture, forestry and fishing",2004,32442,"A","Normal value","MKD","Denar"
"30","MKD","North Macedonia","A","Agriculture, forestry and fishing",2006,30100,"A","Normal value","MKD","Denar"
"31","MKD","North Macedonia","A","Agriculture, forestry and fishing",2008,47478,"A","Normal value","MKD","Denar"
"32","MKD","North Macedonia","A","Agriculture, forestry and fishing",2010,44258,"A","Normal value","MKD","Denar"
"33","MKD","North Macedonia","A","Agriculture, forestry and fishing",2012,42493,"A","Normal value","MKD","Denar"
"34","MKD","North Macedonia","A","Agriculture, forestry and fishing",2014,53701,"A","Normal value","MKD","Denar"
"35","MKD","North Macedonia","A","Agriculture, forestry and fishing",2016,54558.549,"A","Normal value","MKD","Denar"
"36","MKD","North Macedonia","A","Agriculture, forestry and fishing",2018,55978.938,"A","Normal value","MKD","Denar"
"37","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",1995,161900.63,"A","Normal value","EUR","Euro"
"38","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",1997,172678.486,"A","Normal value","EUR","Euro"
"39","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",1999,168185.823,"A","Normal value","EUR","Euro"
"40","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2001,184150.662,"A","Normal value","EUR","Euro"
"41","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2003,176102.491,"A","Normal value","EUR","Euro"
"42","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2005,169588.274,"A","Normal value","EUR","Euro"
"43","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2007,183651.73,"A","Normal value","EUR","Euro"
"44","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2009,161276.893,"A","Normal value","EUR","Euro"
"45","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2011,194668.371,"A","Normal value","EUR","Euro"
"46","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2013,200766.588,"A","Normal value","EUR","Euro"
"47","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2015,200181.186,"A","Normal value","EUR","Euro"
"48","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2017,222331.891,"A","Normal value","EUR","Euro"
"49","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2019,222889.394,"A","Normal value","EUR","Euro"
"50","EU27_2020","European Union (27 countries from 01/02/2020)","A","Agriculture, forestry and fishing",2021,234558.526,"A","Normal value","EUR","Euro"
"51","DEU","Germany","A","Agriculture, forestry and fishing",1996,20024,"A","Normal value","EUR","Euro"
"52","DEU","Germany","A","Agriculture, forestry and fishing",1998,19647,"A","Normal value","EUR","Euro"
"53","DEU","Germany","A","Agriculture, forestry and fishing",2000,20981,"A","Normal value","EUR","Euro"
"54","DEU","Germany","A","Agriculture, forestry and fishing",2002,19794,"A","Normal value","EUR","Euro"
"55","DEU","Germany","A","Agriculture, forestry and fishing",2004,21518,"A","Normal value","EUR","Euro"
"56","DEU","Germany","A","Agriculture, forestry and fishing",2006,17592,"A","Normal value","EUR","Euro"
