"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"1","NZL","New Zealand","B","Mining and quarrying",1971,49,"A","Normal value","NZD","New Zealand dollar"
"2","NZL","New Zealand","B","Mining and quarrying",1977,231,"A","Normal value","NZD","New Zealand dollar"
"3","NZL","New Zealand","B","Mining and quarrying",1983,447,"A","Normal value","NZD","New Zealand dollar"
"4","NZL","New Zealand","B","Mining and quarrying",1989,892,"A","Normal value","NZD","New Zealand dollar"
"5","NZL","New Zealand","B","Mining and quarrying",1995,1079,"A","Normal value","NZD","New Zealand dollar"
"6","NZL","New Zealand","B","Mining and quarrying",2001,1423,"A","Normal value","NZD","New Zealand dollar"
"7","NZL","New Zealand","B","Mining and quarrying",2007,3791,"A","Normal value","NZD","New Zealand dollar"
"8","NZL","New Zealand","B","Mining and quarrying",2013,3579,"A","Normal value","NZD","New Zealand dollar"
"9","NZL","New Zealand","B","Mining and quarrying",2019,2854,"A","Normal value","NZD","New Zealand dollar"
"10","ISL","Iceland","B","Mining and quarrying",1998,844.826,"A","Normal value","ISK","Iceland krona"
"11","ISL","Iceland","B","Mining and quarrying",2004,1092.159,"A","Normal value","ISK","Iceland krona"
"12","ISL","Iceland","B","Mining and quarrying",2010,929.841,"A","Normal value","ISK","Iceland krona"
"13","ISL","Iceland","B","Mining and quarrying",2016,2159.319,"A","Normal value","ISK","Iceland krona"
"14","ISL","Iceland","B","Mining and quarrying",2022,3977.593,"A","Normal value","ISK","Iceland krona"
"15","BRA","Brazil","B07","Mining of metal ores",2002,4415.908,"A","Normal value","BRL","Brazilian real"
"16","BRA","Brazil","B07","Mining of metal ores",2008,18462.25,"A","Normal value","BRL","Brazilian real"
"17","BRA","Brazil","B07","Mining of metal ores",2014,46354,"A","Normal value","BRL","Brazilian real"
"18","ITA","Italy","B","Mining and quarrying",1995,5227,"A","Normal value","EUR","Euro"
"19","ITA","Italy","B","Mining and quarrying",2001,5541.6,"A","Normal value","EUR","Euro"
"20","ITA","Italy","B","Mining and quarrying",2007,5394.4,"A","Normal value","EUR","Euro"
"21","ITA","Italy","B","Mining and quarrying",2013,6531.2,"A","Normal value","EUR","Euro"
"22","ITA","Italy","B","Mining and quarrying",2019,3878.5,"A","Normal value","EUR","Euro"
"23","HRV","Croatia","B","Mining and quarrying",2000,132.989,"A","Normal value","EUR","Euro"
"24","HRV","Croatia","B","Mining and quarrying",2006,396.049,"A","Normal value","EUR","Euro"
"25","HRV","Croatia","B","Mining and quarrying",2012,376.553,"A","Normal value","EUR","Euro"
"26","HRV","Croatia","B","Mining and quarrying",2018,164.782,"A","Normal value","EUR","Euro"
"27","SWE","Sweden","B","Mining and quarrying",1997,4946,"A","Normal value","SEK","Swedish krona"
"28","SWE","Sweden","B","Mining and quarrying",2003,5309,"A","Normal value","SEK","Swedish krona"
"29","SWE","Sweden","B","Mining and quarrying",2009,11058,"A","Normal value","SEK","Swedish krona"
"30","SWE","Sweden","B","Mining and quarrying",2015,15340,"A","Normal value","SEK","Swedish krona"
"31","SWE","Sweden","B","Mining and quarrying",2021,53321,"A","Normal value","SEK","Swedish krona"
"32","MKD","North Macedonia","B","Mining and quarrying",2002,984,"A","Normal value","MKD","Denar"
"33","MKD","North Macedonia","B","Mining and quarrying",2008,3224,"A","Normal value","MKD","Denar"
"34","MKD","North Macedonia","B","Mining and quarrying",2014,6632,"A","Normal value","MKD","Denar"
"35","GRC","Greece","B","Mining and quarrying",1996,430.534,"A","Normal value","EUR","Euro"
"36","GRC","Greece","B","Mining and quarrying",2002,657.608,"A","Normal value","EUR","Euro"
"37","GRC","Greece","B","Mining and quarrying",2008,816.844,"A","Normal value","EUR","Euro"
"38","GRC","Greece","B","Mining and quarrying",2014,837.839,"A","Normal value","EUR","Euro"
"39","GRC","Greece","B","Mining and quarrying",2020,535.681,"A","Normal value","EUR","Euro"
"40","BRA","Brazil","B","Mining and quarrying",2003,32325.019,"A","Normal value","BRL","Brazilian real"
"41","BRA","Brazil","B","Mining and quarrying",2009,62704.621,"A","Normal value","BRL","Brazilian real"
"42","BRA","Brazil","B","Mining and quarrying",2015,110773,"A","Normal value","BRL","Brazilian real"
