"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"1","FIN","Finland","H50","Water transport",1981,330,"A","Normal value","EUR","Euro"
"2","FIN","Finland","H50","Water transport",1983,313,"A","Normal value","EUR","Euro"
"3","FIN","Finland","H50","Water transport",1985,360,"A","Normal value","EUR","Euro"
"4","FIN","Finland","H50","Water transport",1987,354,"A","Normal value","EUR","Euro"
"5","FIN","Finland","H50","Water transport",1989,404,"A","Normal value","EUR","Euro"
"6","FIN","Finland","H50","Water transport",1991,428,"A","Normal value","EUR","Euro"
"7","FIN","Finland","H50","Water transport",1993,567,"A","Normal value","EUR","Euro"
"8","FIN","Finland","H50","Water transport",1995,516,"A","Normal value","EUR","Euro"
"9","FIN","Finland","H50","Water transport",1997,607,"A","Normal value","EUR","Euro"
"10","FIN","Finland","H50","Water transport",1999,750,"A","Normal value","EUR","Euro"
"11","FIN","Finland","H50","Water transport",2001,783,"A","Normal value","EUR","Euro"
"12","FIN","Finland","H50","Water transport",2003,866,"A","Normal value","EUR","Euro"
"13","FIN","Finland","H50","Water transport",2005,905,"A","Normal value","EUR","Euro"
"14","FIN","Finland","H50","Water transport",2007,990,"A","Normal value","EUR","Euro"
"15","FIN","Finland","H50","Water transport",2009,523,"A","Normal value","EUR","Euro"
"16","FIN","Finland","H50","Water transport",2011,636,"A","Normal value","EUR","Euro"
"17","FIN","Finland","H50","Water transport",2013,689,"A","Normal value","EUR","Euro"
"18","FIN","Finland","H50","Water transport",2015,748,"A","Normal value","EUR","Euro"
"19","FIN","Finland","H50","Water transport",2017,669,"A","Normal value","EUR","Euro"
"20","FIN","Finland","H50","Water transport",2019,721,"A","Normal value","EUR","Euro"
"21","FIN","Finland","H50","Water transport",2021,553,"A","Normal value","EUR","Euro"
"22","MLT","Malta","H","Transportation and storage",1995,216.613,"A","Normal value","EUR","Euro"
"23","MLT","Malta","H","Transportation and storage",1997,248.494,"A","Normal value","EUR","Euro"
"24","MLT","Malta","H","Transportation and storage",1999,277.904,"A","Normal value","EUR","Euro"
"25","MLT","Malta","H","Transportation and storage",2001,308.302,"A","Normal value","EUR","Euro"
"26","MLT","Malta","H","Transportation and storage",2003,279.907,"A","Normal value","EUR","Euro"
"27","MLT","Malta","H","Transportation and storage",2005,273.314,"A","Normal value","EUR","Euro"
"28","MLT","Malta","H","Transportation and storage",2007,346.079,"A","Normal value","EUR","Euro"
"29","MLT","Malta","H","Transportation and storage",2009,344.419,"A","Normal value","EUR","Euro"
"30","MLT","Malta","H","Transportation and storage",2011,322.833,"A","Normal value","EUR","Euro"
"31","MLT","Malta","H","Transportation and storage",2013,420.02,"A","Normal value","EUR","Euro"
"32","MLT","Malta","H","Transportation and storage",2015,504.587,"A","Normal value","EUR","Euro"
"33","MLT","Malta","H","Transportation and storage",2017,597.789,"A","Normal value","EUR","Euro"
"34","MLT","Malta","H","Transportation and storage",2019,697.704,"A","Normal value","EUR","Euro"
"35","MLT","Malta","H","Transportation and storage",2021,575.15,"A","Normal value","EUR","Euro"
"36","SWE","Sweden","H50","Water transport",1994,5957,"A","Normal value","SEK","Swedish krona"
"37","SWE","Sweden","H50","Water transport",1996,6722,"A","Normal value","SEK","Swedish krona"
"38","SWE","Sweden","H50","Water transport",1998,6795,"A","Normal value","SEK","Swedish krona"
"39","SWE","Sweden","H50","Water transport",2000,7427,"A","Normal value","SEK","Swedish krona"
"40","SWE","Sweden","H50","Water transport",2002,7014,"A","Normal value","SEK","Swedish krona"
"41","SWE","Sweden","H50","Water transport",2004,9413,"A","Normal value","SEK","Swedish krona"
"42","SWE","Sweden","H50","Water transport",2006,10374,"A","Normal value","SEK","Swedish krona"
"43","SWE","Sweden","H50","Water transport",2008,10307,"A","Normal value","SEK","Swedish krona"
"44","SWE","Sweden","H50","Water transport",2010,7548,"A","Normal value","SEK","Swedish krona"
"45","SWE","Sweden","H50","Water transport",2012,6930,"A","Normal value","SEK","Swedish krona"
"46","SWE","Sweden","H50","Water transport",2014,6991,"A","Normal value","SEK","Swedish krona"
"47","SWE","Sweden","H50","Water transport",2016,8019,"A","Normal value","SEK","Swedish krona"
"48","SWE","Sweden","H50","Water transport",2018,7904,"A","Normal value","SEK","Swedish krona"
"49","SWE","Sweden","H50","Water transport",2020,6545,"A","Normal value","SEK","Swedish krona"
"50","DEU","Germany","H50","Water transport",1995,2494,"A","Normal value","EUR","Euro"
"51","DEU","Germany","H50","Water transport",1997,3925,"A","Normal value","EUR","Euro"
"52","DEU","Germany","H50","Water transport",1999,3373,"A","Normal value","EUR","Euro"
"53","DEU","Germany","H50","Water transport",2001,5269,"A","Normal value","EUR","Euro"
"54","DEU","Germany","H50","Water transport",2003,4312,"A","Normal value","EUR","Euro"
"55","DEU","Germany","H50","Water transport",2005,6717,"A","Normal value","EUR","Euro"
"56","DEU","Germany","H50","Water transport",2007,6606,"A","Normal value","EUR","Euro"
"57","DEU","Germany","H50","Water transport",2009,8176,"A","Normal value","EUR","Euro"
"58","DEU","Germany","H50","Water transport",2011,7082,"A","Normal value","EUR","Euro"
"59","DEU","Germany","H50","Water transport",2013,7615,"A","Normal value","EUR","Euro"
"60","DEU","Germany","H50","Water transport",2015,6396,"A","Normal value","EUR","Euro"
"61","DEU","Germany","H50","Water transport",2017,6366,"A","Normal value","EUR","Euro"
"62","DEU","Germany","H50","Water transport",2019,6317,"A","Normal value","EUR","Euro"
"63","DEU","Germany","H50","Water transport",2021,12920,"P","Provisional value","EUR","Euro"
"64","NLD","Netherlands","H","Transportation and storage",1995,15679,"A","Normal value","EUR","Euro"
"65","NLD","Netherlands","H","Transportation and storage",1997,17294,"A","Normal value","EUR","Euro"
"66","NLD","Netherlands","H","Transportation and storage",1999,18935,"A","Normal value","EUR","Euro"
"67","NLD","Netherlands","H","Transportation and storage",2001,20835,"A","Normal value","EUR","Euro"
"68","NLD","Netherlands","H","Transportation and storage",2003,21621,"A","Normal value","EUR","Euro"
"69","NLD","Netherlands","H","Transportation and storage",2005,23863,"A","Normal value","EUR","Euro"
"70","NLD","Netherlands","H","Transportation and storage",2007,26658,"A","Normal value","EUR","Euro"
"71","NLD","Netherlands","H","Transportation and storage",2009,24862,"A","Normal value","EUR","Euro"
"72","NLD","Netherlands","H","Transportation and storage",2011,25822,"A","Normal value","EUR","Euro"
"73","NLD","Netherlands","H","Transportation and storage",2013,27145,"A","Normal value","EUR","Euro"
"74","NLD","Netherlands","H","Transportation and storage",2015,30665,"A","Normal value","EUR","Euro"
"75","NLD","Netherlands","H","Transportation and storage",2017,32330,"A","Normal value","EUR","Euro"
"76","NLD","Netherlands","H","Transportation and storage",2019,34744,"A","Normal value","EUR","Euro"
"77","NLD","Netherlands","H","Transportation and storage",2021,34531,"A","Normal value","EUR","Euro"
"78","MEX","Mexico","H","Transportation and storage",1993,89393.443,"A","Normal value","MXN","Mexican peso"
"79","MEX","Mexico","H","Transportation and storage",1995,138121.268,"A","Normal value","MXN","Mexican peso"
"80","MEX","Mexico","H","Transportation and storage",1997,257772.685,"A","Normal value","MXN","Mexican peso"
"81","MEX","Mexico","H","Transportation and storage",1999,389841.808,"A","Normal value","MXN","Mexican peso"
"82","MEX","Mexico","H","Transportation and storage",2001,489614.443,"A","Normal value","MXN","Mexican peso"
"83","MEX","Mexico","H","Transportation and storage",2003,518435.909,"A","Normal value","MXN","Mexican peso"
"84","MEX","Mexico","H","Transportation and storage",2005,633664.59,"A","Normal value","MXN","Mexican peso"
"85","MEX","Mexico","H","Transportation and storage",2007,757599.378,"A","Normal value","MXN","Mexican peso"
"86","MEX","Mexico","H","Transportation and storage",2009,783645.21,"A","Normal value","MXN","Mexican peso"
"87","MEX","Mexico","H","Transportation and storage",2011,982169.994,"A","Normal value","MXN","Mexican peso"
"88","MEX","Mexico","H","Transportation and storage",2013,1139509.736,"A","Normal value","MXN","Mexican peso"
"89","MEX","Mexico","H","Transportation and storage",2015,1298929.393,"A","Normal value","MXN","Mexican peso"
"90","MEX","Mexico","H","Transportation and storage",2017,1507077.658,"A","Normal value","MXN","Mexican peso"
"91","MEX","Mexico","H","Transportation and storage",2019,1715020.211,"A","Normal value","MXN","Mexican peso"
"92","MEX","Mexico","H","Transportation and storage",2021,1728858.87,"P","Provisional value","MXN","Mexican peso"
"93","HRV","Croatia","H","Transportation and storage",1995,841.951,"A","Normal value","EUR","Euro"
"94","HRV","Croatia","H","Transportation and storage",1997,866.058,"A","Normal value","EUR","Euro"
"95","HRV","Croatia","H","Transportation and storage",1999,939.992,"A","Normal value","EUR","Euro"
