"Country","Country Code","Year","GDP_annual"
"Australia","AUS",1990,4.04695e+11
"Australia","AUS",2000,6.62674e+11
"Australia","AUS",2001,7.07402e+11
"Australia","AUS",2002,7.56446e+11
"Australia","AUS",2003,8.03108e+11
"Australia","AUS",2004,8.64089e+11
"Australia","AUS",2005,9.25442e+11
"Australia","AUS",2006,9.99585e+11
"Australia","AUS",2007,1.089023e+12
"Australia","AUS",2008,1.179629e+12
"Australia","AUS",2009,1.261441e+12
"Australia","AUS",2010,1.304381e+12
"Australia","AUS",2011,1.418651e+12
"Australia","AUS",2012,1.500852e+12
"Australia","AUS",2013,1.537445e+12
"Australia","AUS",2014,1.599695e+12
"Australia","AUS",2015,1.624733e+12
"Australia","AUS",2016,1.658936e+12
"Australia","AUS",2017,1.759378e+12
"Australia","AUS",2018,1.844528e+12
"Australia","AUS",2019,1.950042e+12
"Australia","AUS",2020,1.984598e+12
"Australia","AUS",2021,2.088901e+12
"Australia","AUS",2022,2.333221e+12
"Belgium","BEL",1990,170096820000
"Belgium","BEL",2000,256376400000
"Belgium","BEL",2001,264334900000
"Belgium","BEL",2002,273255900000
"Belgium","BEL",2003,281200200000
"Belgium","BEL",2004,296819700000
"Belgium","BEL",2005,310037600000
"Belgium","BEL",2006,325151500000
"Belgium","BEL",2007,343618900000
"Belgium","BEL",2008,351743100000
"Belgium","BEL",2009,346472800000
"Belgium","BEL",2010,363140100000
"Belgium","BEL",2011,375967800000
"Belgium","BEL",2012,386174700000
"Belgium","BEL",2013,3.9288e+11
"Belgium","BEL",2014,403003300000
"Belgium","BEL",2015,416701400000
"Belgium","BEL",2016,430085300000
"Belgium","BEL",2017,445050100000
"Belgium","BEL",2018,460050800000
"Belgium","BEL",2019,478676200000
"Belgium","BEL",2020,460747700000
"Belgium","BEL",2021,507929600000
"Belgium","BEL",2022,554044300000
"Belize","BLZ",1990,1091372731.04635
"Belize","BLZ",2000,2269513521.24141
"Belize","BLZ",2001,2336255947.88698
"Belize","BLZ",2002,2480119080.18695
"Belize","BLZ",2003,2606763721.51347
"Belize","BLZ",2004,2788547981.20007
"Belize","BLZ",2005,2936291912.39834
"Belize","BLZ",2006,3168414706.44099
"Belize","BLZ",2007,3398428597.82879
"Belize","BLZ",2008,3463843128.1334
"Belize","BLZ",2009,3362946696.86937
"Belize","BLZ",2010,3478140590.88054
"Belize","BLZ",2011,3637663876.35514
"Belize","BLZ",2012,3799006499.72859
"Belize","BLZ",2013,4043514868.36128
"Belize","BLZ",2014,4250251212.51446
"Belize","BLZ",2015,4389418618.48409
"Belize","BLZ",2016,4481187085.95139
"Belize","BLZ",2017,4533329634.17644
"Belize","BLZ",2018,4585574671.24903
"Belize","BLZ",2019,4773584952.21273
"Belize","BLZ",2020,4095455620.13554
"Belize","BLZ",2021,4849150358.75661
"Belize","BLZ",2022,5661015151.36819
"Bulgaria","BGR",1990,45390600
"Bulgaria","BGR",2000,28124880000
"Bulgaria","BGR",2001,30986688000
"Bulgaria","BGR",2002,34068712000
"Bulgaria","BGR",2003,36637911000
"Bulgaria","BGR",2004,41201297000
"Bulgaria","BGR",2005,47017240000
"Bulgaria","BGR",2006,53608436000
"Bulgaria","BGR",2007,63494488000
"Bulgaria","BGR",2008,72847049000
"Bulgaria","BGR",2009,73181465000
"Bulgaria","BGR",2010,74887599000
"Bulgaria","BGR",2011,81126316000
"Bulgaria","BGR",2012,82642828000
"Bulgaria","BGR",2013,82253423000
"Bulgaria","BGR",2014,84147688000
"Bulgaria","BGR",2015,89571386000
"Bulgaria","BGR",2016,95349439000
"Bulgaria","BGR",2017,102682967000
"Bulgaria","BGR",2018,109915576000
"Bulgaria","BGR",2019,120342013000
"Bulgaria","BGR",2020,120492425000
"Bulgaria","BGR",2021,138979417000
"Bulgaria","BGR",2022,167808976000
"Canada","CAN",1990,6.95501e+11
"Canada","CAN",2000,1.106063e+12
"Canada","CAN",2001,1.144535e+12
"Canada","CAN",2002,1.193687e+12
"Canada","CAN",2003,1.254742e+12
"Canada","CAN",2004,1.335724e+12
"Canada","CAN",2005,1.421573e+12
"Canada","CAN",2006,1.496574e+12
"Canada","CAN",2007,1.57766e+12
"Canada","CAN",2008,1.65704e+12
"Canada","CAN",2009,1.571334e+12
"Canada","CAN",2010,1.666046e+12
"Canada","CAN",2011,1.774063e+12
"Canada","CAN",2012,1.827205e+12
"Canada","CAN",2013,1.902249e+12
"Canada","CAN",2014,1.994897e+12
"Canada","CAN",2015,1.990442e+12
"Canada","CAN",2016,2.025533e+12
"Canada","CAN",2017,2.140641e+12
"Canada","CAN",2018,2.235672e+12
"Canada","CAN",2019,2.313563e+12
"Canada","CAN",2020,2.209681e+12
"Canada","CAN",2021,2.509618e+12
"Canada","CAN",2022,2.782645e+12
"Chile","CHL",1990,10096424396000
"Chile","CHL",2000,42215029917000
"Chile","CHL",2001,45409054801000
"Chile","CHL",2002,48428963170000
"Chile","CHL",2003,52897338900000
"Chile","CHL",2004,60391763165000
"Chile","CHL",2005,68467939844000
"Chile","CHL",2006,81577533476000
"Chile","CHL",2007,90159479206000
"Chile","CHL",2008,93867121298000
"Chile","CHL",2009,96138477277000
"Chile","CHL",2010,110777866880000
"Chile","CHL",2011,121509298510000
"Chile","CHL",2012,129973394040000
"Chile","CHL",2013,137309192010000
"Chile","CHL",2014,147951290040000
"Chile","CHL",2015,158622902850000
"Chile","CHL",2016,168764687920000
"Chile","CHL",2017,179314910110000
"Chile","CHL",2018,189434867410000
"Chile","CHL",2019,195752228490000
"Chile","CHL",2020,201428894220000
"Chile","CHL",2021,240371473140000
"Chile","CHL",2022,262593355840000
"China","CHN",1990,1887286882720
"China","CHN",2000,10028013925000
"China","CHN",2001,11086312305000
"China","CHN",2002,12171742475000
"China","CHN",2003,13742203492000
"China","CHN",2004,16184016091000
"China","CHN",2005,18731890312000
"China","CHN",2006,21943847482000
"China","CHN",2007,27009232372000
"China","CHN",2008,31924461278000
"China","CHN",2009,34851774374000
"China","CHN",2010,41211925580000
"China","CHN",2011,48794018053000
"China","CHN",2012,53857995347000
"China","CHN",2013,59296322955000
"China","CHN",2014,64356310454000
"China","CHN",2015,68885821805000
"China","CHN",2016,74639505948000
"China","CHN",2017,83203594856000
"China","CHN",2018,91928112907000
"China","CHN",2019,98651520229000
"China","CHN",2020,101356700223100
"China","CHN",2021,114923697861100
"China","CHN",2022,121020724436500
"Fiji","FJI",1990,1.98e+09
"Fiji","FJI",2000,3572300000
"Fiji","FJI",2001,3.762e+09
"Fiji","FJI",2002,4009200000
"Fiji","FJI",2003,4361200000
"Fiji","FJI",2004,4693100000
"Fiji","FJI",2005,5.04e+09
"Fiji","FJI",2006,5325700000
"Fiji","FJI",2007,5440100000
"Fiji","FJI",2008,5614901400
"Fiji","FJI",2009,5614080600
"Fiji","FJI",2010,6024438100
"Fiji","FJI",2011,6768488300
"Fiji","FJI",2012,7109505300
"Fiji","FJI",2013,7715729700
"Fiji","FJI",2014,9167032441.77719
"Fiji","FJI",2015,9822110337.91771
"Fiji","FJI",2016,10327298779.0329
"Fiji","FJI",2017,11064951592.9369
"Fiji","FJI",2018,11650555594.7145
"Fiji","FJI",2019,11762059234.9612
"Fiji","FJI",2020,9613154937.34473
"Fiji","FJI",2021,8914140560.81574
