"Country","Industry","Industry_simple","Code_num","Code_type","Code_length","Aggregate_level","GVA_abbrev","Units","GVA_total","Currency_ISO","Metric","Metric_type","Year","Base_year","Effective_year_GDP","GDP_annual","GDP_perc_norm","Source1","Source1_info","Confidence1","Notes","Source2"
"Australia","Mining and quarrying","Mining","B","ANZSIC",1,1,333814,1e+06,3.33814e+11,"AUD","GVA","Constant",2020,"2022",2022,2.333221e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347281K","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC",1,1,323912,1e+06,3.23912e+11,"AUD","GVA","Constant",2021,"2022",2022,2.333221e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347281K","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC",1,1,316846,1e+06,3.16846e+11,"AUD","GVA","Constant",2022,"2022",2022,2.333221e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347281K","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC",1,1,320727,1e+06,3.20727e+11,"AUD","GVA","Constant",2023,"2022",2022,2.333221e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3347281K","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Other mining","Mining","B","ANZSIC",1,5,28298,1e+06,2.8298e+10,"AUD","GVA","Constant",2020,"2022",2022,2.333221e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A82187590W","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Other mining","Mining","B","ANZSIC",1,5,27023,1e+06,2.7023e+10,"AUD","GVA","Constant",2021,"2022",2022,2.333221e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A82187590W","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Other mining","Mining","B","ANZSIC",1,5,24865,1e+06,2.4865e+10,"AUD","GVA","Constant",2022,"2022",2022,2.333221e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A82187590W","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Other mining","Mining","B","ANZSIC",1,5,25110,1e+06,2.511e+10,"AUD","GVA","Constant",2023,"2022",2022,2.333221e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A82187590W","High","""a. Reference year for chain volume measures and real income measures is 2021-22.""
unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC",1,1,203552,1e+06,2.03552e+11,"AUD","GVA","Current",2020,"Current",2020,1.984598e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3348041T","High","unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC",1,1,224142,1e+06,2.24142e+11,"AUD","GVA","Current",2021,"Current",2021,2.088901e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3348041T","High","unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC",1,1,316846,1e+06,3.16846e+11,"AUD","GVA","Current",2022,"Current",2022,2.333221e+12,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3348041T","High","unsure how much SIC == ANZSIC",NA
"Australia","Mining and quarrying","Mining","B","ANZSIC",1,1,344351,1e+06,3.44351e+11,"AUD","GVA","Current",2023,"Current",2023,NA,NA,"https://www.abs.gov.au/statistics/economy/national-accounts/australian-system-national-accounts/latest-release","Table 5 GVA by Industry
Series no.: A3348041T","High","unsure how much SIC == ANZSIC",NA
"Belize","Mining and quarrying","Mining","B",NA,1,1,61.6,1e+06,61600000,"BZD","GDP","Constant",2019,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,1,1,34.6,1e+06,34600000,"BZD","GDP","Constant",2020,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,1,1,62.9,1e+06,62900000,"BZD","GDP","Constant",2021,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,1,1,59.2,1e+06,59200000,"BZD","GDP","Constant",2022,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,26,1e+06,2.6e+07,"BZD","GDP","Constant",2019,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,20.5,1e+06,20500000,"BZD","GDP","Constant",2020,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,39.8,1e+06,39800000,"BZD","GDP","Constant",2021,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,43.9,1e+06,43900000,"BZD","GDP","Constant",2022,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,33.5,1e+06,33500000,"BZD","GDP","Current",2019,"Current",2019,4773584952.21273,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,27.3,1e+06,27300000,"BZD","GDP","Current",2020,"Current",2020,4095455620.13554,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,50,1e+06,5e+07,"BZD","GDP","Current",2021,"Current",2021,4849150358.75661,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,53.6,1e+06,53600000,"BZD","GDP","Current",2022,"Current",2022,5661015151.36819,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,1,1,54.4,1e+06,54400000,"BZD","GDP","Current",2019,"Current",2019,4773584952.21273,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,1,1,31.1,1e+06,31100000,"BZD","GDP","Current",2020,"Current",2020,4095455620.13554,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,1,1,65.5,1e+06,65500000,"BZD","GDP","Current",2021,"Current",2021,4849150358.75661,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,1,1,69.3,1e+06,69300000,"BZD","GDP","Current",2022,"Current",2022,5661015151.36819,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,1,21479,1e+06,2.1479e+10,"BGN","GVA","Current",2019,"Current",2019,120342013000,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,1,21184,1e+06,2.1184e+10,"BGN","GVA","Current",2020,"Current",2020,120492425000,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
"Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities","Mining",NA,"ISIC",NA,1,24405,1e+06,2.4405e+10,"BGN","GVA","Current",2021,"Current",2021,138979417000,NA,"https://www.nsi.bg/en/content/15588/%D0%BC%D0%B5%D1%82%D0%B0%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/questionnaire-0101-gross-value-added-basic-prices-and-gross-domestic-product-market-prices-%E2%80%93-annual-data > https://infostat.nsi.bg/infostat/pages/reports/query.jsf?x_2=1169","Gross Value Added","Medium","Super broad category; unsure about classification code number",NA
