"Country_iso","Country","Industry_specific","Year","GVA_total_lcu","Currency_iso","Country_short","Industry_simple","GDP_annual_lcu","Exch_rate","GVA_annual_usd","GDP_annual_usd","GVA_perc_GDP_usd","GVA_perc_GDP_lcu","GVA_change_relative","GVA_change_rel_mean","GVA_mean_usd","GVA_mean_lcu","GVA_perc_GDP_usd_mean","GVA_perc_GDP_lcu_mean","national_industry_gva_usd","GDP_mean_usd","GDP_mean_lcu","industry_total_gva_usd","industry_annual_gva_sum_usd","industry_annual_gva_mean_usd","n_country"
"AUS","Australia","Forestry and fishing",2020,8.014e+09,"AUD","AUS","Fishing",2.191416e+12,1.453085,5515162567.91585,1508112739447.45,0.365699620701866,0.365699620701866,NA,4.27108565020898,5780597853.32165,8.14e+09,0.361017075474399,0.361017075474399,17341793559.9649,1603805552541.76,2228543250000,243569231130.509,61177587088.7189,1747931059.67768,35
"AUS","Australia","Forestry and fishing",2021,7.763e+09,"AUD","AUS","Fishing",2.237695e+12,1.331224,5831475394.07342,1680930482022.56,0.346919486346441,0.346919486346441,5.73533095828777,4.27108565020898,5780597853.32165,8.14e+09,0.361017075474399,0.361017075474399,17341793559.9649,1603805552541.76,2228543250000,243569231130.509,61816734035.4948,2377566693.67288,26
"AUS","Australia","Forestry and fishing",2022,8.643e+09,"AUD","AUS","Fishing",2.333221e+12,1.441664,5995155597.97567,1618422184364.73,0.37043211937489,0.37043211937489,2.80684034213019,4.27108565020898,5780597853.32165,8.14e+09,0.361017075474399,0.361017075474399,17341793559.9649,1603805552541.76,2228543250000,243569231130.509,27763803959.5156,2135677227.65505,13
"AUS","Australia","Mining and quarrying",2018,1.91864e+11,"AUD","AUS","Mining",2.151841e+12,1.338412,143351972337.367,1607756804332.3,8.91627215951364,8.91627215951364,NA,NA,143351972337.367,1.91864e+11,8.91627215951364,8.91627215951364,143351972337.367,1603805552541.76,2228543250000,2583524074697.47,217463225233.476,19769384112.1342,11
"AUT","Austria","Fishing and aquaculture",2019,33850000,"EUR","AUT","Fishing",373091240000,0.893276,37894223.0620771,417666253207.295,0.00907284770341968,0.00907284770341968,NA,3.591403036982,38574690.2010232,33520000,0.00910670845334282,0.00910670845334282,77149380.4020464,423563503164.569,368098865000,243569231130.509,52005149321.203,2000198050.8155,26
"AUT","Austria","Fishing and aquaculture",2021,33190000,"EUR","AUT","Fishing",363106490000,0.845494,39255157.3399693,429460753121.844,0.00914056920326596,0.00914056920326596,3.591403036982,3.591403036982,38574690.2010232,33520000,0.00910670845334282,0.00910670845334282,77149380.4020464,423563503164.569,368098865000,243569231130.509,61816734035.4948,2377566693.67288,26
"BEL","Belgium","Fishing and aquaculture",2018,47400000,"EUR","BEL","Fishing",436502400000,0.846773,55977221.7583697,515489275165.835,0.0108590468231103,0.0108590468231103,NA,-9.19922729482508,53402485.8269294,45950000,0.0106919879431355,0.0106919879431355,106804971.653859,510915226979.475,437026733333.333,243569231130.509,40805956725.5762,1457355597.34201,28
"BEL","Belgium","Fishing and aquaculture",2020,44500000,"EUR","BEL","Fishing",422805700000,0.875506,50827749.895489,482927244359.262,0.0105249290631607,0.0105249290631607,-9.19922729482508,-9.19922729482508,53402485.8269294,45950000,0.0106919879431355,0.0106919879431355,106804971.653859,510915226979.475,437026733333.333,243569231130.509,61177587088.7189,1747931059.67768,35
"BEL","Belgium","Mining and quarrying",2021,305400000,"EUR","BEL","Mining",451772100000,0.845494,361208950.033945,534329161413.328,0.0676004560706604,0.0676004560706604,NA,NA,361208950.033945,305400000,0.0676004560706604,0.0676004560706604,361208950.033945,510915226979.475,437026733333.333,2583524074697.47,641603379258.885,33768598908.3624,19
"BLZ","Belize","Fishing and aquaculture",2019,24100000,"BZD","Belize","Fishing",4537117813.50779,2,12050000,2268558906.75389,0.531174216553295,0.531174216553295,NA,-1.75663085874095,10987500,21975000,0.487283982667114,0.487283982667114,43950000,2260080497.40723,4520160994.81447,243569231130.509,52005149321.203,2000198050.8155,26
"BLZ","Belize","Fishing and aquaculture",2020,18300000,"BZD","Belize","Fishing",3914094811.27876,2,9150000,1957047405.63938,0.46754105054551,0.46754105054551,-24.0663900414938,-1.75663085874095,10987500,21975000,0.487283982667114,0.487283982667114,43950000,2260080497.40723,4520160994.81447,243569231130.509,61177587088.7189,1747931059.67768,35
"BLZ","Belize","Fishing and aquaculture",2021,24900000,"BZD","Belize","Fishing",4613247955.32708,2,12450000,2306623977.66354,0.539749873432385,0.539749873432385,36.0655737704918,-1.75663085874095,10987500,21975000,0.487283982667114,0.487283982667114,43950000,2260080497.40723,4520160994.81447,243569231130.509,61816734035.4948,2377566693.67288,26
"BLZ","Belize","Fishing and aquaculture",2022,20600000,"BZD","Belize","Fishing",5016183399.14424,2,10300000,2508091699.57212,0.410670790137266,0.410670790137266,-17.2690763052209,-1.75663085874095,10987500,21975000,0.487283982667114,0.487283982667114,43950000,2260080497.40723,4520160994.81447,243569231130.509,27763803959.5156,2135677227.65505,13
"BLZ","Belize","Mining and quarrying",2019,61600000,"BZD","Belize","Mining",4537117813.50779,2,30800000,2268558906.75389,1.35769011367979,1.35769011367979,NA,10.6927952473685,27287500,54575000,1.19632987666892,1.19632987666892,109150000,2260080497.40723,4520160994.81447,2583524074697.47,731003554610.723,34809693076.7011,21
